Nombre, Precio, IVA, PVP, Descuento, Rating
Elgato 4K60 S+ Capturadora de Vídeo 4K60 HDR10 con Grabación Independiente en Tarjeta SD,399.99,330.57,399.99,0,0.0
LevelOne NVR-1204 Capturadora de Vídeo en Red HDMI,714,590.08,714,0,0.0
LevelOne NVR-1204 Capturadora de Vídeo HDMI,649,536.36,649,0,0.0
Startech Tarjeta PCI Express Capturadora de Vídeo HDMI/VGA/DVI,260,214.88,260,0,0.0
Cooler Master Splitter RGB,9.32,7.7,9.32,0,51.4
Startech Cable Adaptador Molex 4 Pines a SATA Hembra/Macho 30cm ,4.25,3.51,4.25,0,100.0
Startech Cable Divisor Molex 4 Pines a 2x SATA Macho/Hembra 30cm,4.76,3.93,4.76,0,100.0
Bracket Conexión USB (2x10Pin a 4xAH) a Placa Base,5.15,4.26,5.15,0,96.0
Thermaltake Riser PCI-e x16 3.0 Riser Cable de Extensión PCI Express,39.34,32.51,39.34,0,88.0
Silverstone CP11B-500 Cable SATA III 50cm,9.99,8.26,9.99,0,90.0
"Startech Cable Adaptador Bifurcador Divisor Splitter de Alimentación SATA de 0,15m 2x Hembra",6.95,5.74,6.95,0,97.8
Cable Adaptador Molex 4 Pines Macho A 2 x SATA 15 Pines,1.35,1.12,1.35,0,91.4
Lian Li Strimer Plus RGB 24-Pin,49.99,41.31,49.99,0,0.0
Lian Li Strimer Plus RGB 8-Pin,39.99,33.05,39.99,0,0.0
Phanteks RGB4P Cable Adaptador RGB LED,9.01,7.45,9.01,0,92.1
SilverStone CP13 Cable Extensión SATA 15+7 Pines Negro,9.99,8.26,9.99,0,100.0
BitFenix Alchemy Kit de Cables Alimentación CPU+VGA Negros,41.28,34.12,41.28,0,90.0
Phanteks CB6V Cable Extensión Tarjeta Gráfica 6 Pines Rojo,14.26,11.79,14.26,0,86.4
BitFenix Alchemy Kit de Cables Alimentación CPU+VGA Blancos,34.99,28.92,34.99,0,80.0
BitFenix Alchemy Kit de Cables Alimentación CPU+VGA Negro/Blanco,34.99,28.92,34.99,0,96.7
Cable Alimentación MOLEX de 5.25 a 3.5+5.25,1.88,1.55,1.88,0,85.3
Digitus Cable Duplicador de Alimentación SATA 30cm ,2.75,2.27,2.75,0,94.3
BHCustoms Cable Extensor 24 ATX 30cm Azul,24.99,20.65,24.99,0,0.0
BHCustoms Cable Extensor 24 ATX 30cm Blanco,24.99,20.65,24.99,0,0.0
BHCustoms Cable Extensor 24 ATX 30cm Negro,24.99,20.65,24.99,0,0.0
BHCustoms Cable Extensor 24 ATX 30cm Rojo,24.99,20.65,24.99,0,0.0
BHCustoms Cable Extensor Blanco 8 PCIe 45cm,11.99,9.91,11.99,0,100.0
BHCustoms Cable Extensor Rojo 8 PCIe 45cm,11.99,9.91,11.99,0,100.0
TP-Link UH700 Hub 7 Puertos USB 3.0,30,24.79,30,0,93.1
Unotec Adaptador HDMI a VGA con Audio Mini Size,11.25,9.3,11.25,0,80.5
Adaptador de Micro USB a USB-C,3.94,3.26,3.94,0,87.1
Google Pack Chromecast 3,78.99,65.28,78.99,0,93.8
TP-LINK TL-WN725N 150Mbps wireless N Nano USB,7.99,6.6,7.99,0,90.0
Conceptronic Mini Travel Hub 4 Puertos USB 2.0,3.85,3.18,3.85,0,84.7
Startech Hub USB 3.0 x4 Puertos,22.99,19.0,25,9,93.8
TP-LINK TL-WN8200N Adaptador USB WiFi 300Mbps,19.75,16.32,19.75,0,86.7
TP-LINK HA100 Receptor de Música Bluetooth,19.99,16.52,19.99,0,92.2
Owlotech Adaptador DVI a VGA (DVI-I-Macho/HD15-Hembra),1.75,1.45,1.75,0,77.9
1Life usb:hub 4 HUB 4 Puertos USB 3.0,10.21,8.44,10.21,0,0.0
Nanocable Conversor USB-C a Ethernet Gigabit + 3xUSB 3.0 15cm,19.25,15.91,19.25,0,100.0
Unotec Mini Adaptador MicroUSB a USB OTG,2.75,2.27,2.75,0,92.1
Adaptador USB-C a USB 3.0 + HDMI + USB-C,28.99,23.96,28.99,0,76.2
Equip Switch 2x HDMI 4k Conmutador/Divisor Bidireccional,21,17.36,21,0,90.0
Unotec Adaptador HDMI a Euroconector,22,18.18,22,0,84.0
Nanocable Conversor DisplayPort a sVGA Negro 15 cm,8.99,7.43,8.99,0,100.0
Conversor DisplayPort a VGA/DVI/HDMI,15.75,13.02,15.75,0,97.5
Approx APPC41 RCA a HDMI,21,17.36,21,0,80.0
Nanocable Adaptador VGA DB15 a DVI 24+5 ,1.52,1.26,1.52,0,70.9
Unotec Switch Conmutador 3x HDMI,20.72,17.12,20.72,0,83.6
Approx appC19 Adaptador HDMI a MicroHDMI Negro ,3.01,2.49,3.01,0,0.0
Convertidor de Audio Digital a Analógico,15.75,13.02,15.75,0,84.9
Adaptador HDMI Macho/Hembra Acodado,2.75,2.27,2.75,0,93.8
"WD Blue 500GB 2.5"" 5400RPM SATA3",35.29,29.17,35.29,0,92.0
"Seagate BarraCuda 2.5"" 500GB SATA3",35.01,28.93,42.03,17,94.5
Samsung 860 QVO SSD 2TB SATA 3 V-NAND MLC,241.68,199.74,241.68,0,92.0
Kingston A400 SSD 960 GB SATA3,118.99,98.34,118.99,0,95.7
SanDisk SSD Plus 480GB SATA III,77.08,63.7,77.08,0,93.8
"Team Group T-Force Vulcan 1TB SSD 2.5"" SATA3",124.99,103.3,156.59,21,0.0
Crucial BX500 SSD 240GB 3D NAND SATA3,45.49,37.6,45.49,0,93.9
"PNY CS900 2.5"" 960GB SSD SATA 3 TLC",115.9,95.79,115.9,0,90.0
