Name,Rating,Date
"Team Group T-Force Vulcan 1TB SSD 2.5"" SATA3",0.0,2020-04-06
"Seagate BarraCuda 2.5"" 500GB SATA3",94.5,2020-04-06
SanDisk SSD Plus 480GB SATA III,93.8,2020-04-06
Crucial BX500 SSD 240GB 3D NAND SATA3,93.8,2020-04-06
"PNY CS900 2.5"" 960GB SSD SATA 3 TLC",90.0,2020-04-06
Adata Ultimate SU630 480GB SSD,0.0,2020-04-06
Kingston A400 SSD 120GB M.2 SATA III TLC,97.5,2020-04-06
Sandisk Ultra 3D SSD 1TB SATA3,94.6,2020-04-06
Maxtor Z1 SSD 240GB SATA3,85.0,2020-04-06
Gigabyte Solid State Drive 120GB SSD SATA III,90.7,2020-04-06
"Team Group T-Force Vulcan 250GB SSD 2.5"" SATA3",0.0,2020-04-06
Kingston A400 SSD 240GB M.2 SATA III TLC,97.8,2020-04-06
Crucial MX500 SSD 2TB SATA3,95.0,2020-04-06
Adata SU650 SSD 120GB SATA3,0.0,2020-04-06
Adata Ultimate SU630 240GB SSD,0.0,2020-04-06
Samsung 860 Pro SSD Series 512GB,96.4,2020-04-06
Samsung 860 EVO Basic SSD 4TB SATA3,91.4,2020-04-06
Silicon Power Ace A55 128GB SSD 3D NAND,100.0,2020-04-06
"Toshiba MQ01ABD100 2.5"" 1TB 5400 SATA",91.7,2020-04-06
Kingston KC600 SSD 512GB NAND TLC 3D SATA3,100.0,2020-04-06
WD Elements 4TB USB 3.0,91.7,2020-04-06
Samsung T5 SSD Externo 1TB USB 3.1 Negro,98.9,2020-04-06
WD Black P10 Game Drive 2TB USB 3.1,100.0,2020-04-06
Seagate Expansion Desktop 4TB USB 3.0,90.0,2020-04-06
WD Black P10 Game Drive 4TB USB 3.2,0.0,2020-04-06
WD Elements 3TB USB 3.0,87.7,2020-04-06
"Zone Evil ZE45733 500GB 2.5"" USB 3.0 Negro",70.0,2020-04-06
WD Black D10 Game Drive 8TB USB 3.2,0.0,2020-04-06
Team Group PD400 SSD 240GB USB 3.1,90.0,2020-04-06
Intenso HDD Externo 1 TB USB 3.0 Negro,77.3,2020-04-06
"LaCie Rugged Mini 2TB 2.5"" USB-C",90.0,2020-04-06
"LaCie Mobile Drive 5TB 2.5"" USB-C/3.1/Thunderbolt",94.3,2020-04-06
"WD Elements Desktop 3.5"" 8TB USB 3.2",100.0,2020-04-06
"Intenso Memory Center 6TB 3.5"" USB 3.0 Negro",60.0,2020-04-06
Team Group PD400 SSD 960GB USB 3.1,0.0,2020-04-06
"Intenso Memory Board 4TB 3.5"" USB 3.0 Antracita",93.3,2020-04-06
Western Digital My Passport Go SSD 500GB USB 3.1 Azul,0.0,2020-04-06
PNY Pro Elite SSD 250GB USB-C,0.0,2020-04-06
"My Book Essential 6TB 3.5"" USB 3.0 Negro",89.1,2020-04-06
Adata SD600Q SSD Externo 240GB USB 3.0 Rojo,0.0,2020-04-06
"My Book Essential 4TB 3.5"" USB 3.0 Negro",83.5,2020-04-06
PNY Pro Elite SSD 500GB USB-C,100.0,2020-04-06
"LaCie Mobile Drive 1TB 2.5"" USB-C/3.1/Thunderbolt",100.0,2020-04-06
"Adata HD710 Pro 1TB 2.5"" USB 3.2 Negro",0.0,2020-04-06
"WD Blue 1TB 5400rpm 3.5"" SATA3",91.7,2020-04-06
"Seagate Barracuda 3.5"" 8TB SATA 3",46.7,2020-04-06
Toshiba DT01ACA200 2TB SATA3 64MB,91.2,2020-04-06
"Toshiba X300 5TB 3.5"" SATA3",91.6,2020-04-06
"WD Red 2TB 3.5"" SATA3",0.0,2020-04-06
"WD Purple 4TB 3.5"" SATA III",97.1,2020-04-06
WD Black 1TB SATA3 7200rpm,94.4,2020-04-06
WD Black 2TB SATA3 7200rpm,92.9,2020-04-06
WD NAS Desk Red 8TB 256 MB SATA 3,80.0,2020-04-06
"Seagate Exos X10 3.5"" 10TB SATA3",100.0,2020-04-06
"Seagate FireCuda HDD 3.5"" 1TB SATA3",88.3,2020-04-06
"Toshiba X300 6TB 3.5"" SATA3",100.0,2020-04-06
Seagate IronWolf NAS 3TB SATA3,84.0,2020-04-06
"Toshiba N300 NAS 4TB 3.5"" SATA3",93.8,2020-04-06
"WD Black 3.5"" 4TB SATA 3",100.0,2020-04-06
